attribute,lemma,count,surfaces
Aroma,cotto,1136,"cotto, cotti, cotta, cotte"
Aroma,burro,546,burro
Aroma,formaggio,538,"formaggio, formaggi"
Aroma,crosta,490,crosta
Aroma,nota,472,"note, nota"
Aroma,latte,430,"latte, latto"
Aroma,lattico,412,"lattico, lattici, lattiche, lattica"
Aroma,panna,372,panna
Aroma,brodo,354,"brodo, brodi"
Aroma,grana,314,"grana, gran"
Aroma,leggero,294,"leggero, leggera, leggeri, leggere, legger"
Aroma,tostato,240,"tostato, tostati, tostate"
Aroma,fermentato,206,"fermentato, fermentata, fermentate"
Aroma,fuso,188,fuso
Aroma,animale,178,"animale, animali"
Aroma,vegetale,168,"vegetale, vegetali"
Aroma,aroma,148,"aroma, aromi"
Aroma,intensità,138,intensità
Aroma,bruciato,138,"bruciato, bruciata"
Aroma,piacevole,137,"piacevole, piacevoli"
Aroma,sentore,132,"sentore, sentori"
Aroma,frutta,128,frutta
Aroma,tipico,124,"tipico, tipici, tipica"
Aroma,caratteristico,116,"caratteristico, caratteristici"
Aroma,ossidato,114,"ossidato, ossidata, ossidate"
Aroma,carne,110,carne
Aroma,complesso,108,complesso
Aroma,intenso,96,"intenso, intensa"
Aroma,naso,90,naso
Aroma,acido,80,"acido, acida, acide"
Aroma,stantio,80,stantio
Aroma,fruttato,80,"fruttato, fruttate, fruttata"
Aroma,nostrano,76,nostrano
Aroma,amaro,72,"amare, amara, amari, amaro"
Aroma,stalla,68,stalla
Aroma,fresco,60,"fresco, fresca, freschi"
Aroma,lieve,60,"lieve, lievi"
Aroma,vecchio,60,"vecchio, vecchia"
Aroma,forte,58,"forte, forti"
Aroma,fieno,52,fieno
Aroma,alta,52,"alta, alto"
Aroma,erbe,52,"erbe, erba"
Aroma,gradevole,50,"gradevole, gradevoli"
Aroma,secco,50,"secca, secco"
Aroma,verdura,48,"verdura, verdure"
Aroma,persistente,47,"persistente, persistenti"
Aroma,sapone,44,sapone
Aroma,equilibrato,42,equilibrato
Aroma,moderato,40,"moderato, moderata, moderati"
Aroma,bocca,40,bocca
Aroma,medio,38,medio
Aroma,grasso,38,grasso
Aroma,positivo,38,"positivo, positivi"
Aroma,prevalenti,36,"prevalenti, prevalente"
Aroma,buona,36,"buona, buono, buon, buone"
Aroma,neutro,36,neutro
Aroma,lessa,36,"lessa, lesso, lesse"
Aroma,glutammato,34,glutammato
Aroma,strano,34,"strano, strana"
Aroma,propionico,34,"propionico, propionica"
Aroma,pane,34,pane
Aroma,leggerissimo,32,"leggerissimo, leggerissima"
Aroma,torna,32,torna
Aroma,passato,32,passato
Aroma,provolone,32,provolone
Aroma,metallico,32,metallico
Aroma,matura,32,"matura, maturo"
Aroma,dado,28,dado
Aroma,meno,28,meno
Aroma,caramello,28,"caramello, caramella"
Aroma,piccante,28,piccante
Aroma,erbaceo,28,"erbaceo, erbacei"
Aroma,resta,28,"resta, resto"
Aroma,nocciola,26,nocciola
Aroma,ricorda,26,ricorda
Aroma,emmental,26,emmental
Aroma,presente,26,"presente, presenti"
Aroma,muffa,26,muffa
Aroma,caratteristiche,26,caratteristiche
Aroma,yogurt,24,yogurt
Aroma,dominante,24,dominante
Aroma,sento,24,"sento, sente"
Aroma,minestrone,24,minestrone
Aroma,evoluto,22,"evoluto, evolute"
Aroma,scarico,22,scarico
Aroma,prima,20,"prima, primo"
Aroma,finale,20,"finale, finali"
Aroma,profumo,20,profumo
Aroma,polvere,20,polvere
Aroma,gorgonzola,20,gorgonzola
Aroma,marcio,20,marcio
Aroma,trentingrana,20,trentingrana
Aroma,altri,20,"altri, altro, altre"
Aroma,debole,20,debole
Aroma,rancido,20,rancido
Aroma,principalmente,20,principalmente
Aroma,rispetto,20,rispetto
Aroma,punta,20,"punta, punte"
Aroma,sedano,20,sedano
Aroma,cipolla,20,cipolla
Aroma,voto,18,voto
Aroma,svizzero,18,"svizzero, svizzeri"
Aroma,tipiche,18,tipiche
Aroma,persistenza,16,persistenza
Aroma,fastidiose,16,"fastidiose, fastidiosi, fastidiosa, fastidioso"
Aroma,mandorla,16,"mandorla, mandorle"
Aroma,ananas,16,ananas
Aroma,tanta,16,"tanta, tanto"
Aroma,fumo,16,fumo
Aroma,decisi,16,"decisi, deciso"
Aroma,tropicale,16,tropicale
Aroma,tratti,16,tratti
Aroma,pasta,16,pasta
Aroma,odore,16,"odore, odori"
Aroma,putrido,16,putrido
Aroma,sentiti,16,"sentiti, sentita, sentite, sentito"
Aroma,piatto,16,piatto
Aroma,affumicato,16,affumicato
Aroma,fermentazione,16,fermentazione
Aroma,ritorna,16,ritorna
Aroma,tostatura,16,tostatura
Aroma,olfatto,16,olfatto
Aroma,subito,16,subito
Aroma,proposito,14,proposito
Aroma,bella,14,bella
Aroma,difettoso,14,difettoso
Aroma,tornano,14,tornano
Aroma,fungo,14,fungo
Aroma,legna,14,"legna, legno"
Aroma,pepe,14,pepe
Aroma,malga,12,malga
Aroma,aromatica,12,aromatica
Aroma,emerge,12,emerge
Aroma,espressivo,12,espressivo
Aroma,percepibile,12,percepibile
Aroma,pezzi,12,"pezzi, pezzo"
Aroma,salato,12,salato
Aroma,cacao,12,cacao
Aroma,biscotto,12,biscotto
Aroma,letame,12,letame
Aroma,cavolfiore,12,cavolfiore
Aroma,olfazione,12,olfazione
Aroma,sciolto,12,sciolto
